512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
512815-1: script in file:/home/rahul/research/clone-unit-coverage/src/spidernode/deps/mozjs/js/xpconnect/crashtests/512815-1.html from (-1, -1) to (-1, -1) 1/1
